"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","name","data"
"11","Amine_and_polyamine_biosynthesis.putrescine_biosynthesis_via_L.ornithine_pathway.putrescine_from_L.ornithine._step_1.1.","sex","Male",2.48544492926125,0.485243899974883,45,17,6.78076059711941e-06,0.00292250781735847,"Amine_and_polyamine_biosynthesis;putrescine_biosynthesis_via_L-ornithine_pathway;putrescine_from_L-ornithine:_step_1/1.","pathway_raw"
"12","Carbohydrate_degradation.L.fucose_degradation.","sex","Male",1.88699879000703,0.374284781174727,45,17,8.83188782671374e-06,0.00380654365331362,"Carbohydrate_degradation;L-fucose_degradation.","pathway_raw"
"13","Lipid_metabolism.short.chain_fatty_acid_metabolism.","sex","Male",3.93003788075822,0.614665679754701,45,17,1.25525116297865e-05,0.00541013251243799,"Lipid_metabolism;short-chain_fatty_acid_metabolism.","pathway_raw"
"14","Quinol.quinone_metabolism.menaquinone_biosynthesis.menaquinol_from_1.4.dihydroxy.2.naphthoate._step_1.2.","sex","Male",2.93726376790208,0.599125916947204,45,23,1.39181005625327e-05,0.00599870134245157,"Quinol/quinone_metabolism;menaquinone_biosynthesis;menaquinol_from_1,4-dihydroxy-2-naphthoate:_step_1/2.","pathway_raw"
"15","Cofactor_biosynthesis.FAD_biosynthesis.FAD_from_FMN._step_1.1.","sex","Male",2.07972001774192,0.431491962385075,45,16,1.82213438500635e-05,0.00785339919937735,"Cofactor_biosynthesis;FAD_biosynthesis;FAD_from_FMN:_step_1/1.","pathway_raw"
"16","Glycan_metabolism.bacterial_cellulose_biosynthesis.","sex","Male",3.16227083566531,0.669911219631324,45,18,2.51490095198539e-05,0.010839223103057,"Glycan_metabolism;bacterial_cellulose_biosynthesis.","pathway_raw"
"17","Polyol_metabolism.glycerol_degradation_via_glycerol_kinase_pathway.glycerone_phosphate_from_sn.glycerol_3.phosphate_.aerobic_route.._step_1.1.","sex","Male",2.40246915703093,0.525528286457612,45,19,4.06236663509054e-05,0.0175088001972402,"Polyol_metabolism;glycerol_degradation_via_glycerol_kinase_pathway;glycerone_phosphate_from_sn-glycerol_3-phosphate_(aerobic_route):_step_1/1.","pathway_raw"
"18","Purine_metabolism.xanthosine_degradation.","sex","Male",1.66076578849156,0.37454019236425,45,14,6.29969402717393e-05,0.0271516812571196,"Purine_metabolism;xanthosine_degradation.","pathway_raw"
"19","Purine_metabolism.purine_nucleoside_salvage.","sex","Male",1.66076500901763,0.374540172232978,45,14,6.29973093926444e-05,0.0271518403482297,"Purine_metabolism;purine_nucleoside_salvage.","pathway_raw"
"20","Cofactor_biosynthesis.tetrahydrofolate_biosynthesis.7.8.dihydrofolate_from_2.amino.4.hydroxy.6.hydroxymethyl.7.8.dihydropteridine_diphosphate_and_4.aminobenzoate._step_1.2.","sex","Male",2.77251936913377,0.629768555982428,45,21,6.96709570694147e-05,0.0300281824969178,"Cofactor_biosynthesis;tetrahydrofolate_biosynthesis;7,8-dihydrofolate_from_2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine_diphosphate_and_4-aminobenzoate:_step_1/2.","pathway_raw"
"21","Slime_biogenesis.slime_polysaccharide_biosynthesis.","sex","Male",3.03126940575998,0.69792940208365,45,24,8.40374505645674e-05,0.0362201411933285,"Slime_biogenesis;slime_polysaccharide_biosynthesis.","pathway_raw"
"22","Amino.acid_biosynthesis.L.isoleucine_biosynthesis.L.isoleucine_from_2.oxobutanoate._step_1.4.","sex","Male",2.44826835011128,0.564376333760666,45,26,8.54362769153991e-05,0.036823035350537,"Amino-acid_biosynthesis;L-isoleucine_biosynthesis;L-isoleucine_from_2-oxobutanoate:_step_1/4.","pathway_raw"
"23","Amino.acid_biosynthesis.L.isoleucine_biosynthesis.L.isoleucine_from_2.oxobutanoate._step_4.4.","sex","Male",2.06572295662298,0.484118978673985,45,16,0.00010686485151913,0.0460587510047465,"Amino-acid_biosynthesis;L-isoleucine_biosynthesis;L-isoleucine_from_2-oxobutanoate:_step_4/4.","pathway_raw"
